date,platform_search_volume,platform_autocomplete_volume,platform_total_sessions,platform_sessions_converted,active_sites
2023-06-24,2967835,1465321,3079555,56858,2314
2023-06-25,3081139,1505243,3160075,64154,2322
2023-06-26,2033788,1078416,2014132,47661,2329
2023-06-27,3825610,2049309,4173614,94767,2332
2023-06-28,3868907,2058418,4132269,95911,2321
2023-06-29,3411132,1897094,3715242,85764,2337
2023-06-30,3226495,1719618,3449352,74282,2291
2023-07-01,2866410,1314595,2810003,52931,2300
2023-07-02,3485364,1581665,3379323,68101,2311
2023-07-03,3811711,2092484,4070522,94085,2320
2023-07-04,3583061,1936859,3875243,85093,2332
2023-07-05,3527187,1806865,3658940,74038,2330
2023-07-06,3507696,1843566,3632743,75488,2334
2023-07-07,3284530,1563199,3299555,65370,2336
2023-07-08,3070089,1335155,2993514,54174,2341
2023-07-09,3650566,1598136,3502356,69773,2356
2023-07-10,4325776,2351167,4560372,111576,2374
2023-07-11,4183344,2234477,4376237,105417,2386
2023-07-12,3871085,2158598,4087349,100208,2397
2023-07-13,3922203,2174785,4044704,98344,2397
2023-07-14,3553260,1949973,3765243,83457,2388
2023-07-15,3026243,1393493,2844466,56815,2398
2023-07-16,3673584,1656212,3419984,73274,2402
2023-07-17,4063252,2249429,4317036,106643,2407
2023-07-18,3896020,2144842,4063003,100351,2412
2023-07-19,3719492,2102771,3943437,97081,2461
2023-07-20,3634015,2045144,3845482,90244,2462
2023-07-21,3385742,1884208,3686717,78668,2474
2023-07-22,2915079,1347880,2773216,52463,2493
2023-07-23,3479816,1576800,3191165,67876,2510
2023-07-24,3925812,2213451,4123254,102726,2523
2023-07-25,3954887,2146197,4182637,98574,2547
2023-07-26,3922358,2160280,4162473,95867,2535
2023-07-27,3677923,1984198,4092279,86521,2515
2023-07-28,3460650,1887836,3982853,78996,2511
2023-07-29,2952404,1414521,3016816,57149,2533
2023-07-30,3680437,1717319,3609377,77825,2558
2023-07-31,3916549,2218167,4116218,99948,2557
2023-08-01,4034241,2144235,4629719,99163,2551
2023-08-02,3830967,2088042,4545760,94870,2584
2023-08-03,3812472,2072013,4505666,91257,2582
2023-08-04,3418408,1890110,4261014,78926,2579
2023-08-05,3369071,1536084,3710183,61248,2591
2023-08-06,4025637,1834257,4299178,79732,2598
2023-08-07,4397337,2439201,5069017,112851,2603
2023-08-08,4116581,2237627,4774361,102702,2742
2023-08-09,4052480,2268678,4829745,104341,2761
2023-08-10,3875243,2104330,4425547,94808,2765
2023-08-11,3134977,1602746,3564624,69266,2767
2023-08-12,2820746,1322268,3127323,52334,2779
2023-08-13,3312145,1586978,3646678,69750,2787
2023-08-14,4004624,2299236,4705523,107691,2788
2023-08-15,3955705,2143838,4618544,103672,2886
2023-08-16,3884653,2242249,4606806,102641,2878
2023-08-17,3971228,2201213,4588116,98882,2883
2023-08-18,3359933,1719947,3900026,72493,2887
2023-08-19,2994489,1412529,3339943,55923,2943
2023-08-20,3547762,1652257,3746515,72180,2951
2023-08-21,4186320,2205995,4783630,127863,2938
2023-08-22,4023396,1932667,4734072,119355,2948
2023-08-23,3783238,1873762,4800512,114956,2964
2023-08-24,3718256,1808233,4575107,107281,2965
2023-08-25,3415675,1912999,4293594,96665,2966
2023-08-26,3014290,1362031,3359253,71902,2971
2023-08-27,3687267,1681911,3923093,94401,2978
2023-08-28,4174445,2354183,4846235,128159,2929
2023-08-29,4098162,2258933,4866888,119092,2943
2023-08-30,3976691,2256808,4833482,117264,2936
2023-08-31,3783010,2129567,4261147,111294,3083
2023-09-01,3447764,1865410,3939229,95422,3081
2023-09-02,3276188,1598497,3501705,79526,3089
2023-09-03,3809580,1654338,3732745,95032,3100
2023-09-04,3988541,2215662,4411313,123197,3070
2023-09-05,3862421,2162245,4265710,120486,3085
2023-09-06,3881667,2200348,4422466,125174,3082
2023-09-07,3915986,2170885,4154573,122693,3081
2023-09-08,3335826,1680141,3372443,97556,3082
2023-09-09,3079024,1392029,2886763,78235,3084
2023-09-10,3722020,1687267,3451769,102253,3033
2023-09-11,4145403,2361300,4411570,141664,3025
2023-09-12,4060229,2287773,4393897,133021,3037
2023-09-13,4015235,2271922,4738104,131020,3042
2023-09-14,3803206,2091435,4065540,116727,3041
2023-09-15,3734545,2071410,4199889,116168,3042
2023-09-16,3532662,1826871,3693632,99456,3048
2023-09-17,4136475,2110589,4229952,126757,3009
2023-09-18,4186948,2363233,4642544,140193,2991
2023-09-19,3909919,2156802,4381174,121672,3000
2023-09-20,3628224,2050425,4439799,113027,3007
2023-09-21,3505814,1996215,3948509,103249,3008
2023-09-22,3516906,1951033,3821008,96235,3010
2023-09-23,3490466,1769650,3558529,85639,3015
2023-09-24,4119461,1993115,4062511,105004,3029
2023-09-25,3900203,2181427,4128751,119054,2864
2023-09-26,3368373,1979207,3625522,100136,2868
2023-09-27,3579494,2299916,3774917,104721,2867
2023-09-28,3532930,2156790,3613973,96723,2868
2023-09-29,3446554,2117806,3530251,92868,2870
2023-09-30,3620355,1947647,3432584,83645,2877
2023-10-01,4163281,2119288,3860918,100554,2888
2023-10-02,3968670,2121703,3876113,113235,2890
2023-10-03,3993642,2011018,3866824,111710,2731
2023-10-04,4014924,2036448,3889932,110567,2733
2023-10-05,3951369,2011884,3835637,108341,2733
2023-10-06,3664490,1841620,3622623,94720,2730
2023-10-07,3816759,1718668,3400951,83671,2757
2023-10-08,4549597,2057717,4047016,106577,2746
2023-10-09,4860898,2709748,5088931,137089,2750
2023-10-10,4558735,2533069,4797996,131325,2758
2023-10-11,4327600,2409242,4614661,127238,2754
2023-10-12,4320626,2352831,4665028,127163,2756
2023-10-13,4225290,2197305,4389664,115505,2759
2023-10-14,4079458,2042708,4001293,101050,2775
2023-10-15,4955250,2444733,4876068,129669,2783
2023-10-16,4520592,2341088,4526788,134606,2778
2023-10-17,4461478,2235629,4396077,129065,2783
2023-10-18,4302772,2197843,4241731,125837,2780
2023-10-19,4334817,2258265,4274935,122298,2776
2023-10-20,3866806,2036932,3985411,101706,2777
2023-10-21,3716783,1829615,3526109,86229,2788
2023-10-22,4544904,2246296,4287720,112204,2723
2023-10-23,4132424,2277672,4295375,111153,2630
2023-10-24,4112284,2243994,4284942,112550,2631
2023-10-25,3917120,2178075,4174564,107149,2632
2023-10-26,3922971,2159000,4055037,100981,2630
2023-10-27,3807369,2058444,3944500,95600,2626
2023-10-28,3687899,1823394,3510714,84008,2640
2023-10-29,4254593,2125000,4107771,102179,2646
2023-10-30,4535212,2746363,4985814,129683,2651
2023-10-31,4475684,2815108,5085791,130110,2656
2023-11-01,4675032,2955527,5194581,132048,2665
2023-11-02,4738579,3177973,5249163,138873,2666
2023-11-03,4825369,3357142,5284344,134689,2664
2023-11-04,4707588,3075811,4712376,117909,2674
